C.D.S.  -  SIMBAD4 rel 1.8  -  2025.04.02CEST05:40:14

plx >8.49&plx< 8.51&Vmag< 20&Bmag< 20&maintypes='*'
---------------------------------------------------

Number of objects : 507

 # ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type     
---;-----------------------------------;---;---------------------------------------;---------;---------;---------;---------;---------;--------------------
87 ;CD-29 2548                         ;V* ;05 51 44.0471706216 -28 59 00.509046360;     ~   ;10.23    ;9.59     ;     ~   ;9.462419 ;~                   
88 ;TYC 6503-1697-1                    ;*  ;05 52 02.1951912408 -29 01 39.127492704;     ~   ;11.65    ;10.88    ;     ~   ;10.839364;~                   
89 ;TYC 142-1618-1                     ;SB*;06 06 51.4297488816 +06 10 31.934430048;     ~   ;11.29    ;10.58    ;     ~   ;10.429033;~                   
90 ;BD-18 1425                         ;PM*;06 26 46.5708783576 -18 54 57.550271688;     ~   ;9.85     ;9.24     ;     ~   ;9.132256 ;G0                  
91 ;HD 292458                          ;*  ;06 50 43.9470563208 -00 57 58.195429560;     ~   ;10.94    ;10.21    ;     ~   ;10.092465;G0                  
92 ;HD 292795                          ;PM*;06 55 47.6391576072 -02 12 17.116878168;     ~   ;10.82    ;10.10    ;     ~   ;10.076015;G0                  
93 ;TYC 1357-2317-1                    ;*  ;07 07 24.9410989944 +21 28 53.271529932;     ~   ;11.29    ;10.57    ;     ~   ;10.378565;~                   
94 ;TYC 5967-1398-1                    ;*  ;07 01 24.7122478704 -18 44 15.028571076;     ~   ;11.62    ;10.66    ;     ~   ;10.507417;~                   
95 ;HD 63226                           ;PM*;07 47 53.4541443144 +02 34 16.597083900;     ~   ;9.17     ;8.69     ;     ~   ;8.603261 ;F5V                 
96 ;BD-08 2061                         ;*  ;07 46 21.5293671216 -08 39 21.251420424;     ~   ;10.45    ;9.87     ;     ~   ;9.708896 ;~                   
97 ;TYC 5419-2279-1                    ;SB*;07 51 51.0853422480 -11 53 48.670780992;     ~   ;11.10    ;10.44    ;     ~   ;10.168371;~                   
98 ;HD 63986                           ;SB*;07 50 21.6790697112 -32 10 00.823397808;     ~   ;9.34     ;8.91     ;     ~   ;8.787648 ;F5+(K)III           
99 ;TYC 1363-1339-1                    ;*  ;07 58 14.3982082536 +15 32 48.287154480;     ~   ;10.28    ;9.73     ;9.4      ;9.570168 ;~                   
100;HD 69961                           ;PM*;08 20 47.9176879992 +35 46 43.714594740;7.430    ;7.310    ;7.160    ;     ~   ;7.133266 ;A0                  
101;TYC 808-1338-1                     ;PM*;08 31 08.9790206064 +13 31 40.560019788;     ~   ;11.67    ;10.83    ;     ~   ;10.516716;~                   
102;TYC 4863-567-1                     ;*  ;08 43 38.4979646976 -01 37 19.728300864;     ~   ;12.16    ;11.42    ;     ~   ;11.253387;~                   
103;TYC 1399-1597-1                    ;PM*;08 49 40.7677538856 +20 43 32.856200040;     ~   ;10.96    ;10.45    ;     ~   ;10.249734;~                   
104;TYC 221-1092-1                     ;PM*;08 58 33.3920407104 +04 43 20.778438324;     ~   ;11.67    ;11.00    ;     ~   ;10.723500;~                   
105;HD 76391                           ;*  ;08 55 21.5718025224 -16 09 01.035713052;     ~   ;9.53     ;9.06     ;     ~   ;8.948575 ;F6V                 
106;TYC 7138-1674-1                    ;PM*;08 53 33.8867878920 -31 06 40.085893296;     ~   ;11.35    ;10.77    ;     ~   ;10.589808;~                   
107;CD-33 5613                         ;PM*;08 57 57.7192929456 -34 08 59.635834692;     ~   ;11.05    ;10.26    ;     ~   ;10.211590;~                   
108;CD-41 14890                        ;*  ;22 26 29.2678574184 -41 05 50.921654496;     ~   ;10.68    ;9.93     ;     ~   ;9.836609 ;G0                  
109;HD 13261                           ;PM*;02 08 44.5959958848 -37 26 46.889217888;     ~   ;10.523   ;9.810    ;     ~   ;9.642118 ;K0/1III+G           
110;HD 10209                           ;V* ;01 39 16.5808620792 -29 01 20.803953432;     ~   ;7.742    ;7.419    ;     ~   ;7.365846 ;F0III               
111;HD 209547                          ;*  ;22 04 44.8530657648 -23 11 37.766098032;     ~   ;10.87    ;10.26    ;     ~   ;10.070111;G2V                 
112;HD 223466                          ;Pu*;23 49 49.5953158680 -25 19 52.846542624;     ~   ;6.54     ;6.42     ;     ~   ;6.425708 ;A3V                 
113;HD 14493                           ;*  ;02 19 58.5769772376 -18 00 56.395526220;     ~   ;9.43     ;9.00     ;     ~   ;8.921988 ;F2V                 
114;HD 211082                          ;*  ;22 14 58.7095848408 -17 08 41.277512436;     ~   ;10.472   ;9.909    ;     ~   ;9.808137 ;G1V                 
115;TYC 5841-1223-1                    ;PM*;00 01 54.3600173040 -19 34 53.258332512;     ~   ;12.12    ;11.07    ;     ~   ;10.952332;~                   
116;GSC 05842-00340                    ;** ;00 11 06.9127651008 -18 31 12.643008096;     ~   ;11.037   ;10.463   ;10.312   ;10.218205;~                   
117;LP 765-18                          ;Pe*;00 26 00.4905652338 -19 18 52.282367952;     ~   ;16.50    ;15.00    ;     ~   ;14.418698;dC                  
118;TYC 5807-1095-1                    ;SB*;22 21 18.4972113480 -11 23 02.794556112;     ~   ;11.63    ;11.05    ;     ~   ;10.660207;~                   
119;HD 10184                           ;PM*;01 39 25.9288405632 -10 48 20.807294868;     ~   ;9.53     ;8.80     ;     ~   ;8.656271 ;G6IV                
120;HD 8235                            ;*  ;01 21 40.0747363752 -09 40 18.840960444;     ~   ;10.543   ;9.958    ;     ~   ;9.816742 ;G3V                 
121;HD 203000                          ;*  ;21 19 40.8452909520 -05 29 13.517812212;     ~   ;8.68     ;8.12     ;     ~   ;8.001140 ;F5V                 
122;BD-08 6206                         ;PM*;23 53 28.6460928720 -08 04 19.474394412;     ~   ;11.79    ;9.5      ;10.89    ;10.877728;GV                  
123;HD 10325                           ;SB*;01 40 48.9660066456 -06 36 26.359294428;     ~   ;8.55     ;7.70     ;     ~   ;7.475310 ;G8IV                
124;BD-03 5156                         ;PM*;21 14 27.1610722752 -03 01 54.249015612;     ~   ;10.59    ;9.92     ;     ~   ;9.852368 ;G0                  
125;HD 224158                          ;*  ;23 55 35.1422531736 -00 10 44.332210344;     ~   ;10.85    ;10.19    ;     ~   ;10.006173;G3V                 
126;HD 203404                          ;*  ;21 21 50.6841334152 +02 30 36.719857944;     ~   ;9.02     ;8.56     ;     ~   ;8.425880 ;F5V                 
127;HD 210239                          ;*  ;22 08 52.3516351560 +04 14 09.250676736;     ~   ;7.90     ;7.38     ;     ~   ;7.275790 ;F5V                 
128;TYC 583-1409-1                     ;*  ;23 14 37.8154524504 +05 25 51.909517236;     ~   ;11.10    ;10.42    ;     ~   ;10.273303;~                   
129;HD 201097                          ;*  ;21 07 19.0486210584 +04 08 29.898252024;     ~   ;8.84     ;8.26     ;     ~   ;8.123196 ;F6V                 
130;BD+06 5157                         ;PM*;23 27 13.0941053952 +07 29 31.122306348;     ~   ;10.55    ;9.86     ;     ~   ;9.742200 ;G0                  
131;TYC 591-307-1                      ;*  ;23 39 08.3232898752 +06 46 28.660975176;     ~   ;11.96    ;10.44    ;     ~   ;10.5688  ;~                   
132;BD+07 227                          ;PM*;01 31 20.4204906984 +08 30 11.532701664;     ~   ;10.75    ;10.06    ;     ~   ;9.970888 ;G5                  
133;HD 14866                           ;** ;02 24 10.3754940960 +10 16 20.900499024;     ~   ;8.31     ;7.07     ;     ~   ;6.742455 ;K0                  
134;HD 223402                          ;** ;23 49 05.1610184011 +19 15 14.382901898;     ~   ;9.46     ;8.94     ;8.6      ;8.809606 ;G0                  
135;HD 5652                            ;PM*;00 58 26.6539474152 +21 06 05.874180444;     ~   ;10.07    ;9.48     ;     ~   ;9.397697 ;F8                  
136;HD 15227                           ;*  ;02 27 32.0916267456 +16 38 36.640456440;7.580    ;7.610    ;7.250    ;     ~   ;7.154009 ;F0                  
137;BD+20 411                          ;PM*;02 31 07.0391098056 +21 04 29.318197512;     ~   ;9.88     ;9.29     ;8.7      ;9.163016 ;G0                  
138;HD 8139                            ;Em*;01 21 08.5601617608 +26 49 43.791767004;     ~   ;9.72     ;9.12     ;     ~   ;9.111393 ;G0                  
139;HD 217650                          ;PM*;23 01 56.8583304360 +32 41 36.812908788;     ~   ;8.61     ;8.21     ;     ~   ;8.113662 ;F5                  
140;TYC 2717-356-1                     ;PM*;21 37 31.6830976992 +31 04 49.415874996;     ~   ;10.92    ;10.24    ;     ~   ;10.060962;~                   
141;TYC 2214-1271-1                    ;*  ;21 47 57.9665628288 +29 52 29.584243704;     ~   ;11.58    ;10.63    ;     ~   ;10.571339;~                   
142;* 5 Tri                            ;V* ;02 11 25.0229609256 +31 31 35.021784396;     ~   ;6.351    ;6.230    ;     ~   ;6.223253 ;A1m                 
143;HD 3626                            ;*  ;00 39 35.3454187248 +36 47 25.838467008;     ~   ;8.624    ;8.248    ;     ~   ;8.174301 ;F0                  
144;BD+37 187                          ;*  ;01 00 17.2972766256 +38 17 40.868520252;     ~   ;9.63     ;9.18     ;     ~   ;9.014753 ;~                   
145;HD 5830                            ;*  ;01 00 17.6875272456 +38 18 13.657290516;     ~   ;9.33     ;8.87     ;     ~   ;8.748423 ;G0                  
146;GD 11                              ;WD*;01 09 23.2021845384 +37 32 45.978297072;13.954   ;15.012   ;15.235   ;15.310   ;15.207625;DA1.7               
147;HD 7600                            ;PM*;01 16 34.6381918920 +36 26 03.485655204;     ~   ;9.15     ;8.70     ;     ~   ;8.608356 ;F5                  
148;TYC 2325-1271-1                    ;Em*;02 50 29.7712654248 +30 40 51.237494436;     ~   ;10.83    ;10.18    ;     ~   ;10.043005;G3                  
149;TYC 2745-1473-1                    ;PM*;22 15 36.0541544880 +36 52 49.437832620;     ~   ;11.51    ;10.67    ;     ~   ;10.495814;~                   
150;BD+41 4460                         ;*  ;22 20 13.8217913664 +41 50 29.245044264;     ~   ;9.38     ;8.92     ;     ~   ;8.828584 ;F2                  
151;TYC 3225-801-1                     ;*  ;23 19 17.4751696872 +43 01 15.670614972;     ~   ;11.75    ;10.85    ;     ~   ;10.734324;~                   
152;TYC 2830-2234-1                    ;Em*;02 18 28.8690018264 +37 44 08.497792536;     ~   ;11.27    ;10.51    ;     ~   ;10.395856;G3                  
153;HD 77787                           ;*  ;09 03 56.0949212568 -23 50 54.753862992;     ~   ;8.59     ;8.28     ;     ~   ;8.247869 ;A7V                 
154;AG+05 1373                         ;SB*;09 13 19.1937550008 +05 39 49.709296296;     ~   ;10.78    ;10.20    ;     ~   ;10.013980;G2                  
155;TYC 6599-1040-1                    ;SB*;09 13 45.6301066992 -29 15 02.319686964;     ~   ;11.94    ;11.21    ;     ~   ;11.030261;~                   
156;BD-11 2633                         ;SB*;09 26 07.6472999856 -11 39 33.641916696;     ~   ;10.704   ;10.042   ;     ~   ;9.735415 ;G5                  
157;BD-18 2750                         ;PM*;09 39 30.1022320584 -19 05 05.253240732;     ~   ;10.62    ;9.94     ;     ~   ;9.852645 ;~                   
158;GPM 145.919917-20.746066           ;*  ;09 43 40.7968876992 -20 44 45.912638940;     ~   ;14.4     ;13.8     ;     ~   ;12.914878;~                   
159;TYC 2993-278-1                     ;*  ;09 56 10.9763749584 +38 15 53.083326096;     ~   ;10.46    ;9.76     ;     ~   ;9.717999 ;~                   
160;TYC 1414-518-1                     ;Em*;09 54 03.6052613448 +19 43 22.802163096;     ~   ;10.63    ;10.05    ;     ~   ;9.861242 ;G1                  
161;BD+08 2284                         ;PM*;09 53 48.4301846208 +07 29 14.330713596;     ~   ;10.09    ;9.46     ;     ~   ;9.312879 ;G0                  
